364,'TEa6a','TEa/Isocortex/CTXpl/CTX/CH/grey/root/'
365,'MMme','MM/MBO/MEZ/HY/IB/BS/grey/root/'
366,'VPM','VP/VENT/DORsm/TH/IB/BS/grey/root/'
367,'AUDp1','AUDp/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
368,'VPMpc','VP/VENT/DORsm/TH/IB/BS/grey/root/'
369,'ENTm6','ENTm/ENT/RHP/HPF/CTXpl/CTX/CH/grey/root/'
370,'cbc','cbf/fiber tracts/root/'
371,'VTA','MBmot/MB/BS/grey/root/'
372,'VISpl1','VISpl/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
373,'pm','mfbsma/mfsbshy/mfbs/fiber tracts/root/'
374,'OT','STRv/STR/CNU/CH/grey/root/'
375,'AUDv2/3','AUDv/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
376,'VTN','MBmot/MB/BS/grey/root/'
377,'AUDpo4','AUDpo/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
378,'OV','PVR/HY/IB/BS/grey/root/'
379,'x','MY-mot/MY/HB/BS/grey/root/'
380,'MOs5','MOs/MO/Isocortex/CTXpl/CTX/CH/grey/root/'
381,'P','HB/BS/grey/root/'
382,'ACAv5','ACAv/ACA/Isocortex/CTXpl/CTX/CH/grey/root/'
383,'XII','MY-mot/MY/HB/BS/grey/root/'
384,'RSPagl5','RSPagl/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
385,'VISp5','VISp/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
386,'PA','CTXsp/CTX/CH/grey/root/'
387,'y','MY-mot/MY/HB/BS/grey/root/'
388,'AId6a','AId/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
389,'cst','lfbs/fiber tracts/root/'
390,'TEa6b','TEa/Isocortex/CTXpl/CTX/CH/grey/root/'
391,'PAA','OLF/CTXpl/CTX/CH/grey/root/'
392,'AUDpo5','AUDpo/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
393,'sptV','sV/Vn/cm/fiber tracts/root/'
394,'PAG','MBmot/MB/BS/grey/root/'
395,'ZI','LZ/HY/IB/BS/grey/root/'
396,'VIIn','cm/fiber tracts/root/'
397,'AIv5','AIv/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
398,'sm','mfbse/mfsbshy/mfbs/fiber tracts/root/'
399,'PAL','CNU/CH/grey/root/'
400,'FF','ZI/LZ/HY/IB/BS/grey/root/'
401,'VISpm1','VISpm/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
402,'SSs2/3','SSs/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
403,'ACAv6a','ACAv/ACA/Isocortex/CTXpl/CTX/CH/grey/root/'
404,'ICc','IC/MBsen/MB/BS/grey/root/'
405,'dscp','scp/cbp/cbf/fiber tracts/root/'
406,'DP','OLF/CTXpl/CTX/CH/grey/root/'
407,'AUDp4','AUDp/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
408,'ACAv6b','ACAv/ACA/Isocortex/CTXpl/CTX/CH/grey/root/'
409,'ICd','IC/MBsen/MB/BS/grey/root/'
410,'VISp2/3','VISp/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
411,'ILA5','ILA/Isocortex/CTXpl/CTX/CH/grey/root/'
412,'ICe','IC/MBsen/MB/BS/grey/root/'
